Location (m),"Magnetic Field, stack (nT)","Magnetic Field, KS4259 (nT)","Magnetic Field, RETZEPIS (nT)","Magnetic Field, sh3770 (nT)","Magnetic Field, ZNZHANG (nT)","Magnetic Field, whaarlow (nT)","Magnetic Field, na3676 (nT)","Magnetic Field, bboyd (nT)","Magnetic Field, cg0677 (nT)","Magnetic Field, lpowens (nT)","Magnetic Field, akanehw (nT)"
155.0,502429.35699999996,50987.589,51338.405,50743.068999999996,50987.589,50990.843,50644.855,52241.681,46345.055,47091.504,51058.767
156.0,501741.544,50935.938,50944.768000000004,50943.339,50935.938,50482.547,50995.703,52258.467000000004,46176.926,47059.951,51007.967000000004
157.0,501332.279,50569.077,50942.984000000004,50756.195,50569.077,50658.505,51071.664,52506.693,46322.308999999994,46882.39,51053.385
158.0,500490.07700000005,50432.969,50641.322,50860.3,50432.969,50602.448000000004,51056.197,51916.249,46057.277,46962.185,51528.161
159.0,501310.00100000005,50542.791000000005,51083.206,50687.07,50542.791000000005,50786.087999999996,51059.193999999996,52305.701,45904.75399999999,47085.909,51312.497
160.0,501316.693,50724.020000000004,51292.633,50666.248,50724.020000000004,50750.204,50961.678,52348.498,45936.896,46759.76,51152.736
161.0,502058.172,50638.824,50968.454,50996.454,50638.824,50597.913,50688.34,52230.793,46436.751000000004,47392.418999999994,51469.4
162.0,501241.222,50865.204,50887.453,50779.8,50865.204,50600.937000000005,50762.861000000004,52170.721999999994,46329.69,46907.066999999995,51072.28400000001
163.0,502347.568,50741.82,51344.852000000006,50838.424000000006,50741.82,50600.937000000005,50847.171,52181.552,46718.903,47019.070999999996,51313.018
164.0,501661.62899999996,50751.03,51210.379,50851.328,50751.03,50258.654,50710.358,52507.022,46826.844000000005,46804.128,50990.856
165.0,500808.354,50787.897000000004,50514.159,50609.119999999995,50787.897000000004,50292.990000000005,50759.850999999995,52479.32,46413.479,46871.64,51292.001
166.0,503386.97099999996,50853.804,50842.368,50789.425,50853.804,50875.365000000005,50887.225,52555.475,46939.02099999999,47071.170000000006,51719.314
167.0,501863.227,50881.950000000004,50990.443999999996,50552.465,50881.950000000004,50294.606999999996,50801.462,52288.665,46518.301,47271.803,51381.58
168.0,500486.40699999995,50600.078,51166.651,50474.175,50600.078,50080.05699999999,50928.001000000004,51852.926,46887.332,46620.7,51276.409
169.0,502343.83699999994,50829.155999999995,51166.651,50738.867,50829.155999999995,50362.547,51165.872,51832.090000000004,46834.778,46850.901999999995,51733.818
170.0,500805.335,50959.332,51007.421,50485.179000000004,50959.332,50046.86,50811.507,51579.016,47094.808,46986.646,50875.234
171.0,502250.634,51516.182,50847.701,50558.965000000004,51516.182,50246.817,50992.049,51986.612,46446.703,47096.172000000006,51043.251
172.0,499948.398,50509.649000000005,51225.485,50487.435,50509.649000000005,50076.619,50887.337,51650.379,46758.782,46507.441999999995,51335.62100000001
173.0,501775.237,50695.627,50698.810000000005,50855.492,50695.627,50329.41,51222.509000000005,51768.61,46713.731,47137.709,51657.712
174.0,502651.0,51206.609,50793.377,50947.977999999996,51206.609,50081.923,50837.199,52089.907,46909.185,47127.484000000004,51450.729
175.0,502713.984,50940.83,51009.943,51177.979999999996,50940.83,50257.157,51069.131,52315.273,46620.581,46821.185,51561.074
176.0,502592.966,51136.676999999996,50999.778999999995,50970.706,51136.676999999996,50284.793999999994,51060.460999999996,52463.965000000004,46412.427,46814.843,51312.637
177.0,502695.35300000006,51275.722,50820.205,50955.201,51275.722,49946.967000000004,50885.354,52453.613,46966.617999999995,46704.257,51411.693999999996
178.0,501338.62600000005,50988.726,50850.669,50790.231,50988.726,49948.599,50807.315,51860.337999999996,46334.303,47251.725999999995,51517.992999999995
179.0,500955.4309999999,50988.726,50573.136,50941.977999999996,50988.726,50145.668999999994,50764.345,51892.445999999996,46232.424999999996,46933.555,51494.425
180.0,502597.772,51377.884,50926.986999999994,50814.196,51377.884,50119.284,50799.85400000001,51752.047,46939.242999999995,46821.441,51668.952
181.0,501485.9419999999,51127.398,51088.293,51009.520000000004,51127.398,50075.964,50635.146,52094.236000000004,46234.642,46750.138,51343.207
182.0,503583.69599999994,50896.78,50997.933000000005,50780.999,50896.78,50500.234,51019.307,52668.276,46326.909999999996,47349.013,52147.464
183.0,501277.1930000001,50938.348,50684.608,50845.863000000005,50938.348,50104.56,50848.379,52683.276,46225.797,46538.19,51469.824
184.0,503004.17600000004,51059.72,50838.240999999995,50947.056000000004,51059.72,50198.43199999999,51274.324,52681.922,46119.224,47125.728,51699.809
185.0,503873.746,51123.049999999996,51068.884,50965.167,51123.049999999996,50547.565,51113.267,52718.429000000004,46811.621,46533.231,51869.481999999996
186.0,501936.296,51114.718,50870.582,51047.432,51114.718,50190.734,50934.475,52466.627,46409.979999999996,46449.951,51337.079000000005
187.0,502764.09300000005,51226.362,51104.07,50582.265999999996,51226.362,50527.042,50622.804000000004,51943.82,46649.146,47113.835999999996,51768.385
188.0,501003.993,51075.323,50844.943999999996,50622.100000000006,51075.323,49970.619999999995,50992.942,51853.325,46987.352,46241.015,51341.049
189.0,503380.93399999995,51410.048,50962.395000000004,50923.518000000004,51410.048,50380.134,50617.917,52333.066,46748.925,47490.105,51104.778000000006
190.0,501785.09900000005,50882.905,51602.178,50646.623,50882.905,50530.878000000004,50505.69,52245.944,46495.548,46961.924000000006,51030.504
191.0,501744.60000000003,51237.429,50824.214,50422.278,51237.429,50119.114,50743.761999999995,52245.944,46334.486,47676.277,50903.667
192.0,500735.542,50976.481999999996,50855.577,50772.382,50976.481999999996,50069.864,50778.081999999995,52222.498999999996,46444.732,46736.123,50903.319
193.0,500473.1919999999,51118.986999999994,50484.797,51199.142,51118.986999999994,50219.275,50754.195,51622.971999999994,46532.388,46638.772000000004,50783.676999999996
194.0,501910.235,50966.842,51592.990999999995,50952.423,50966.842,50436.475,50655.918999999994,52474.567,46224.142,46766.699,50873.335
