GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""47000""",Tennessee,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,154382.1,167394.6,176281.9,182247.2,186441.3,195764.3,205126.4,219327.9,231633.5,243583.9,248692.4,254242,252332.8,257776,269814.2,286341.5,295862.7,306153.1,325294,336413.9,349837.7,361381.5,376916.5,369574.3
" ""04000""",Arizona,6,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,132281,143302.6,155755.8,165110.7,171909.6,180522.3,193634.9,206541.1,227915.9,245957,261392,262926,246424.3,251153,260915.7,271440,278591.6,287666.6,299393.3,313081.4,330416.1,349907.5,369988.2,373719
" ""27000""",Minnesota,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,156351.4,166904.8,175759.3,191515,196006.1,203713.8,215721.8,231267.1,245380.5,252295.9,262063.1,267420.6,262088.9,274231.3,287039.3,298328.3,311126.4,324751.4,335530.2,344060.8,354684.2,373419.5,383039.6,373739.3
" ""18000""",Indiana,3,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,170431.9,184359.8,193147.3,203801.1,205470.9,212837.8,225442.7,239743.6,248170.5,259602.8,273509.5,275538.7,263326.8,282562.2,291356.1,300513.9,312138.5,327958.3,331945.7,340500.7,353150.3,373518.4,381020.3,375336.7
" ""08000""",Colorado,7,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,136898.7,150330,163763.3,180063.2,186695.8,190019,196126.5,204167.2,220783.7,232646.7,248446.5,258871.7,251227.7,258300.2,267516.1,276823.1,292140.5,309542.6,320721.1,329911.7,348898.1,371424.6,392218,382584.7
" ""24000""",Maryland,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,159372.1,169982.1,180261.6,192021.4,205981,217837.1,228959.3,245124.5,262100,274145.3,282965.6,295400.2,299102.7,314728.3,326281.2,332523.5,340577.6,352761.3,369728.1,387733.4,400406,411099.8,421609.5,410674.7
" ""26000""",Michigan,3,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,299817.7,312688.1,338312.4,352152.4,349885.8,363660.8,374174.2,385621.1,400268.9,401869,409615.4,390420.9,368733.8,390043,404554.7,422691.2,437274.4,451773.2,474983.3,490264,501751.6,520802.6,531434.6,515119.9
" ""51000""",Virginia,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,215101.7,231384,249801.1,268470.9,285635.9,295355.7,311665.7,332115.1,358069.7,376235.7,391699.8,404634.9,410967.4,426992.4,435180.3,445973.6,457640.5,465181.8,483786.5,496021.1,509892.8,531757.1,554305.8,549535.8
" ""25000""",Massachusetts,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,237267.4,249299,264644.4,288791,296868.7,301836.4,311188.6,326737.1,341993.2,359270,378519.1,390778.4,390504.8,411136.1,425523,442916.9,454321.2,470468.5,498851.3,514637.6,532354.3,564047.3,593256.7,582476.8
" ""37000""",North Carolina,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,233934.9,246890.4,265375.7,278008.5,288069.5,297846.4,310388.9,329878.9,355469.7,387525,401490.9,418793.4,411155.8,420027.6,431722.7,445095.3,462268.9,483191.3,508928.7,526029.8,549670.6,569981.7,595655.4,589829
" ""53000""",Washington,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,193825.9,209741.1,229797.9,237378.2,238418.6,245978.5,255370.2,268378.3,293676,314265.2,342024.2,354794.1,351245,365497.8,379574.9,400530.6,419092.4,440648,466689.7,487275.1,519942.9,564480.7,597873.8,604253.8
" ""34000""",New Jersey,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,307817.1,319861.3,336064.9,361005.4,373698,386132.5,400984.7,414848.6,435736.7,457593.1,474867.9,496227.2,482458.9,492762.4,495965.8,517195.9,534177.8,542842.8,563233.8,575501,586374.6,613508.7,639436.7,618579.3
" ""13000""",Georgia,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,242540.8,265347.2,289187.9,305572,317475.5,327051.3,342576.2,364782,389537.7,406015.6,419606.3,416377.6,409590.8,418091.3,431653.9,447764.7,464752.8,490079.3,521008.2,547546.7,574404.4,602340.1,637798.7,622627.8
" ""39000""",Ohio,3,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,343430.3,361638.1,376465.2,392277.2,396944.5,411034.5,423780.2,446225.3,468891.6,482738.1,497761.5,496919.4,482281.1,500515.3,528189.9,545740.1,566532.4,595640.9,611019.5,623265.3,641745.8,666973.9,693199.3,677561.2
" ""42000""",Pennsylvania,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,356988,373748.5,390916.8,409159.9,427108.6,440971.7,460270.6,487306.1,511731.4,531274.1,565831.8,588024.6,582144.8,604736.8,624819.7,647925.9,668569.1,694142.6,714202.9,726561.9,745011.3,772611.4,799686.2,771897.9
" ""17000""",Illinois,3,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,415534.8,436567.1,460331.1,487014.6,501552.8,514361.1,533022.5,563060.8,589811.8,624242.9,650145.2,654657.5,649862.7,666404.8,692880.8,726399.1,741121.5,771356.1,799930.5,807043.2,827075.2,867535.5,890486.1,858366.9
" ""12000""",Florida,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,401535.3,429138.4,458058.9,490429.8,519058.6,553010.3,590483.1,646630.6,705851.9,750523.8,782712.5,763341.5,735421,746928.9,755240,778545,811751.7,851692.4,908519.9,953352.5,1002568.1,1057862.3,1116435.4,1106035.5
" ""36000""",New York,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,718814.3,745502.4,795230,841181.3,878346.5,890258.1,912474.6,967151.9,1016037.5,1075154.6,1119381.5,1116591,1160081.3,1223529.7,1247605.8,1328233.5,1365529,1430923.3,1487627.6,1551354.1,1603903.4,1694957.9,1777751.8,1724759.1
" ""48000""",Texas,6,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,610157.3,645142.6,679870.3,738677,773375.5,789817.6,833342.3,913444.4,995252.4,1103197.6,1191093.1,1244294.9,1169607.7,1245959.4,1341334.4,1421180.1,1515195.6,1579299.5,1573498.4,1579014.9,1677110.9,1809706.4,1863953.8,1775587.8
" ""06000""",California,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,1071117,1147520.4,1241899.7,1356975.4,1375761.3,1418429.6,1497918.7,1588177.4,1698560.4,1812210,1898902,1944695.3,1890165.9,1954092.7,2023500,2113096.4,2220389.9,2335286.5,2473555.9,2569634,2730973.9,2895101,3052645.2,3007187.7
